Feature,Importance
policy_id,0.40719685180619913
policy_tenure,2.2438408803560836
age_of_car,10.367276500970283
age_of_policyholder,0.9204993860418711
area_cluster,0.8359331880745869
population_density,1.3930016618179921
make,1.5489008350948852
segment,3.3240300125435978
model,1.3140083566526113
fuel_type,10.610972497205507
max_torque,5.618121812240273
max_power,1.542368479213459
engine_type,3.915177212871163
airbags,1.8971671968308674
is_esc,0.5727952505296827
is_adjustable_steering,1.0405591815156006
is_tpms,0.7773835798210401
is_parking_sensors,0.7095781917041682
is_parking_camera,2.22135033536251
rear_brakes_type,0.0
displacement,5.343377659373204
cylinder,0.01268374502776613
transmission_type,6.819209740142617
gear_box,0.014264994029281849
steering_type,5.629035152138322
turning_radius,5.64601060452464
length,4.30315323347433
width,3.775113655305673
height,3.1611198287428435
gross_weight,2.419859953530547
is_front_fog_lights,0.11742290971234322
is_rear_window_wiper,0.2990454131948743
is_rear_window_washer,0.6875258122818055
is_rear_window_defogger,1.9614687427859072
is_brake_assist,0.5495932951021888
is_power_door_locks,1.222568808352509
is_central_locking,0.583254530739832
is_power_steering,0.24085280055151406
is_driver_seat_height_adjustable,2.1710619227168526
is_day_night_rear_view_mirror,0.655648013204948
is_ecw,0.7768869622530415
is_speed_alert,0.10729752430396983
ncap_rating,2.24338328785858
